,Año,Trimestre,Provincia,Accesos por cada 100 hogares
344,2018,3,Formosa,29.58
345,2018,3,Jujuy,23.26
346,2018,3,La Pampa,71.75
347,2018,3,La Rioja,50.73
348,2018,3,Mendoza,37.99
349,2018,3,Misiones,32.1
350,2018,3,Neuquén,60.49
351,2018,3,Río Negro,50.54
352,2018,3,Salta,39.43
353,2018,3,San Juan,33.05
354,2018,3,San Luis,52.35
355,2018,3,Santa Cruz,32.73
356,2018,3,Santa Fe,63.41
357,2018,3,Santiago Del Estero,36.25
358,2018,3,Tierra Del Fuego,92.77
359,2018,3,Tucumán,41.68
360,2018,2,Buenos Aires,62.78
361,2018,2,Capital Federal,106.53
362,2018,2,Catamarca,32.86
363,2018,2,Chaco,31.25
364,2018,2,Chubut,54.9
365,2018,2,Córdoba,63.27
366,2018,2,Corrientes,33.81
367,2018,2,Entre Ríos,49.2
368,2018,2,Formosa,29.43
369,2018,2,Jujuy,23.43
370,2018,2,La Pampa,71.04
371,2018,2,La Rioja,50.98
372,2018,2,Mendoza,36.97
373,2018,2,Misiones,31.63
374,2018,2,Neuquén,60.24
375,2018,2,Río Negro,50.15
376,2018,2,Salta,39.94
377,2018,2,San Juan,32.95
378,2018,2,San Luis,15.15
379,2018,2,Santa Cruz,33.33
380,2018,2,Santa Fe,62.57
381,2018,2,Santiago Del Estero,35.26
382,2018,2,Tierra Del Fuego,91.61
383,2018,2,Tucumán,41.51
384,2018,1,Buenos Aires,62.63
385,2018,1,Capital Federal,106.24
386,2018,1,Catamarca,32.79
387,2018,1,Chaco,30.83
388,2018,1,Chubut,53.72
389,2018,1,Córdoba,63.52
390,2018,1,Corrientes,32.66
391,2018,1,Entre Ríos,48.68
392,2018,1,Formosa,21.4
393,2018,1,Jujuy,23.12
394,2018,1,La Pampa,71.75
395,2018,1,La Rioja,51.44
396,2018,1,Mendoza,37.07
397,2018,1,Misiones,30.96
398,2018,1,Neuquén,61.52
399,2018,1,Río Negro,49.82
400,2018,1,Salta,39.78
401,2018,1,San Juan,32.61
